id	x	y	group
_h5_4338	18267.07	21368.94	108
_h5_4310	18377.35	21420.07	108
_h5_4448	34627.79	26722.06	14
_h5_3792	34650.2	26724.81	14
_h5_4347	34334.73	26726.28	81
_h5_4324	34511.09	26726.87	81
_h5_4333	30148.19	22833.42	359
_h5_4365	30341.47	22793.93	359
_h5_4332	31521.96	26075.35	140
_h5_4209	31343.75	26009.57	140
_h5_4280	31482.42	26060.01	140
_h5_4302	31761.62	26174.43	140
_h5_4331	19144.44	26556.29	178
_h5_3941	19407.4	26532.78	178
_h5_4116	19104.38	26569.26	178
_h5_4631	19151.78	26508.42	178
_h5_3684	19051.19	26606.42	178
_h5_4330	34916.6	18812.77	212
_h5_4669	34854.43	19049.44	212
_h5_4337	19083.02	21059.04	155
_h5_3594	19099.63	20913.76	185
_h5_4036	19075.11	21173.93	155
_h5_4068	19069.52	21326.64	155
_h5_4362	19081.19	21040.7	155
_h5_4378	19072.92	21351.35	155
_h5_4336	24140.99	18915.64	74
_h5_3703	24110.38	18919.33	74
_h5_3818	24267.79	19033.34	74
_h5_3819	23911.52	18809.04	74
_h5_4049	24282.96	19020.41	74
_h5_4360	23998.4	18829.78	74
_h5_4487	24168.05	18934.68	74
_h5_3849	24361.8	19116.57	74
_h5_3860	24298.56	19059.8	74
_h5_4335	25802.8	22412.75	6
_h5_4128	25892.67	22685.2	6
_h5_4334	21521.44	23991.49	15
_h5_4308	21624.06	23861.52	15
_h5_4724	17138.35	15908.84	9
_h5_3731	17007.18	15752.37	277
_h5_4715	17304.42	16125.13	9
_h5_4730	17004.2	15714.37	277
_h5_4725	22414.62	15387.73	380
_h5_4743	22285.74	15202.5	380
_h5_4689	35409.64	18002.55	346
_h5_4134	35610.65	18073.72	346
_h5_4720	20928.45	13219.14	101
_h5_4700	20887.44	13003.08	101
_h5_4721	25497.4	17082.2	301
_h5_4749	25551.92	16995.5	301
_h5_4722	21043.42	22286.85	162
_h5_4638	21231.59	22508.88	162
_h5_4723	41016.44	30519.07	84
_h5_4153	40951.06	30662.28	84
_h5_4620	41146.06	30628.02	84
_h5_4642	41108.63	30597.5	84
_h5_4741	40895.71	30411.71	84
_h5_4745	41092.29	30579.48	84
_h5_4779	41196.98	30665.27	84
_h5_4683	22651.28	15803.55	345
_h5_4644	22724.38	15984.58	345
_h5_4680	40466.48	30000.65	84
_h5_4735	40677.49	30206.47	84
_h5_4685	12904.86	19796.96	300
_h5_4671	12997.14	19839.29	300
_h6_10	14872.96	14743.37	75
_h5_4236	14985.17	14560.43	75
_h5_4690	15020.31	14522.7	75
_h5_4777	15614.22	14042.85	171
_h5_4467	15408.61	14174.27	171
_h5_4709	15399.01	14123.59	171
_h5_4805	15330.27	14082.16	171
_h5_4738	15661.49	14065.53	171
_h5_4770	15692.77	14088.1	171
_h5_4776	14140.02	12544.7	195
_h5_4668	14057.37	12627.33	195
_h5_4845	7268.45	24908.61	37
_h5_3857	7524.03	24891.22	37
_h5_4445	37212.95	27801.78	5
_h5_4226	37324.64	27926.19	262
_h5_4558	37331.56	27939.22	262
_h5_4444	21603.05	18748.75	29
_h5_3725	21669.02	18945.23	29
_h5_4450	21614.27	18931.08	29
_h5_4480	21567.16	18953.91	29
_h5_3798	22223.18	27518.76	438
_h5_3652	22023.33	27484.62	438
_h5_3877	21997.88	27472.46	438
_h5_3999	21934.24	27468.81	438
_h5_4130	12021.78	24815.36	187
_h5_4657	12121.08	24822.21	187
_h6_7	11922.45	9830.94	288
_h5_4869	11870.7	9914.87	288
_h5_4441	17881.69	24466.52	231
_h5_4456	17694.34	24587.94	231
_h5_4854	32615.01	15084.11	404
_h5_4356	32796.45	15184.58	404
_h5_4440	21125.09	21358.77	197
_h5_4434	20876.26	21377.06	197
_h5_4729	20868.03	21372.64	197
_h5_3661	21387.08	21327.85	337
_h5_4397	21345.6	21334.83	47
_h5_4438	31753.33	21818.01	207
_h5_3828	31667.59	21874.93	222
_h5_4401	32020.35	21947.52	207
_h5_4468	31949.87	21744.81	207
_h5_4581	31907.36	21780.07	207
_h5_4439	17080.74	20896.7	369
_h5_4453	16846.53	20822.44	369
_h5_4443	24932.4	19987.23	138
_h5_3739	24965.83	20094.88	138
_h5_3832	25020.16	20193.65	138
_h5_3879	25041.68	20231.49	138
_h5_4537	35908.22	17837.95	240
_h5_4279	35876.53	17862.56	240
_h5_4430	26289.55	24515.22	416
_h5_4044	26271.11	24440.75	416
_h5_4102	26255.64	24452.63	416
_h5_4431	26295.59	27288.4	139
_h5_3930	26419.24	27311.08	139
_h5_4369	26486.16	27117.75	139
_h5_4400	26349.29	27431.03	160
_h5_4432	21736.64	20255.12	134
_h5_4351	21745.33	20228.17	134
_h5_4436	17841.57	16644.52	73
_h5_4048	17632.68	16486.6	73
_h5_4059	17666.78	16514.84	73
_h5_4656	17660.92	16514.27	73
_h5_3974	17755.82	16607.77	73
_h5_4013	17705.16	16546.13	73
_h5_4651	17795.36	16617.16	73
_h5_4666	17755.36	16584.66	73
_h5_4672	17693.45	16541.01	73
_h5_4676	17834.27	16647.55	73
_h5_4678	17839.08	16646.82	73
_h5_4702	17939.36	16704.79	73
_h5_4437	29229.77	22783.82	218
_h5_3766	28963.68	22766.33	218
_h5_4298	29474.16	22721.85	218
_h5_4871	23468.1	22268.86	42
_h5_3604	23241.52	22156.46	42
_h5_3647	23237.5	22148.76	42
_h5_3829	23235.63	22151.5	42
_h5_4074	23225.98	22133.05	42
_h5_4732	23228.85	22131.3	42
_h5_4531	15607.09	20502.31	205
_h5_4512	15660.77	20511.51	205
_h5_4139	25928.49	25541.86	1
_h5_3932	25724.94	25346.18	18
_h5_4206	25776.63	25401.52	18
_h5_3859	26088.25	25636.5	1
_h5_3953	26144.57	25645.37	1
_h5_4007	26031.27	25629.39	1
_h5_4014	26056.44	25638.12	1
_h5_4105	26198.57	25628.13	1
_h5_4726	29503.28	31375.32	327
_h5_3695	29556.09	31403.79	327
_h5_4032	20973.94	23024.87	142
_h5_4065	20974.44	23028.14	142
_h5_4248	20966.4	23026.33	142
_h5_3793	22925.83	20910.98	17
_h5_4451	22928.74	20910.13	17
_h5_4710	23002.54	21190.73	312
_h5_4775	22747.15	21000.23	17
_h5_3826	21191.44	18970.11	0
_h5_3815	21079.48	18981.33	0
_h5_3675	21133.69	18972.06	0
_h5_4457	21252.0	18947.86	0
_h5_3825	9233.78	10897.59	115
_h5_4853	9076.04	11055.95	115
_h5_3822	19771.37	18675.25	267
_h5_3931	19757.76	18666.34	267
_h5_4539	19750.84	18889.75	267
_h5_4547	19782.55	18527.88	267
_h5_4568	19779.03	18578.39	267
_h5_4578	19784.65	18471.82	267
_h5_3820	21962.16	22861.63	60
_h5_3557	21708.71	22872.13	60
_h5_3622	21705.9	22857.83	60
_h5_3623	21707.25	22864.7	60
_h5_3713	21935.92	22782.72	60
_h5_3747	21948.0	22816.78	60
_h5_3772	22196.43	22725.8	60
_h5_4062	22195.8	22766.06	191
_h5_4559	21888.78	22861.54	60
_h5_4561	19839.4	19467.84	51
_h5_3881	19675.6	19273.56	51
_h5_4190	19700.97	19229.12	51
_h5_4389	19695.85	19267.28	51
_h5_4519	19700.37	19641.48	51
_h5_3799	19796.85	19469.89	51
_h5_4354	19806.69	19553.24	51
_h5_4552	19764.74	19463.31	51
_h5_4833	14974.25	13654.92	71
_h5_4635	14925.42	13659.33	71
_h5_4830	15002.3	13686.21	71
_h5_4852	15015.18	13690.71	71
_h5_4864	15056.86	13742.16	71
_h5_4596	22582.45	24212.81	286
_h5_3733	22543.15	24423.02	286
_h5_4131	22531.87	24452.02	286
_h5_4366	27753.53	23078.34	189
_h5_3883	27827.51	23006.53	189
_h5_4038	27653.15	23098.64	189
_h5_4216	27800.84	23040.51	189
_h5_3554	22943.53	23448.49	265
_h5_3656	22663.2	23377.78	43
_h5_4004	22799.42	23411.05	43
_h5_3650	22842.65	23422.69	43
_h5_3671	22836.57	23424.47	43
_h5_3878	23006.31	23464.4	43
_h5_3951	23002.24	23466.78	265
_h5_3552	19088.87	21679.37	39
_h5_3697	19073.53	21417.79	155
_h5_4274	19056.14	21397.95	155
_h5_4246	18917.25	21678.94	39
_h5_3670	19101.34	21820.47	39
_h5_3682	19125.93	21794.8	39
_h5_4084	19374.81	21660.45	4
_h5_4118	19077.48	21779.92	39
_h5_4136	19079.78	21823.6	39
_h5_4141	19375.69	21663.7	4
_h5_4158	19367.85	21664.1	4
_h5_4300	19253.68	21668.82	39
_h5_4312	19066.52	21632.86	39
_h5_3553	37843.72	28460.67	61
_h5_4461	37624.65	28263.53	262
_h5_3593	38008.57	28616.45	61
_h5_4161	37914.97	28552.36	61
_h5_4497	38018.17	28648.33	61
_h5_4189	22401.39	23307.17	43
_h5_3601	22390.22	23019.15	43
_h5_3621	22395.75	23021.48	43
_h5_3648	22401.28	23023.81	43
_h5_3686	22327.56	23290.77	43
_h5_3927	22381.6	23298.21	43
_h5_3947	22357.1	23294.77	43
_h5_4613	22320.02	23274.21	43
_h5_3743	22509.66	23333.75	43
_h5_3795	22591.74	23421.38	43
_h5_4096	22586.0	23400.32	43
_h5_4492	15951.04	20561.6	205
_h5_4493	15249.05	13953.3	171
_h5_4403	15275.46	14010.04	171
_h5_4839	15284.51	13979.59	171
_h5_4846	15218.99	13940.74	171
_h5_4029	15217.49	14169.93	171
_h5_4810	15300.41	14048.55	171
_h5_4773	21788.11	13721.39	166
_h5_3842	22052.19	13596.3	284
_h5_4764	21770.27	13772.69	166
_h5_4765	21517.21	13761.09	166
_h5_4797	21820.03	13452.66	284
_h5_4804	21826.02	13826.79	166
_h5_4490	16160.03	24621.94	96
_h5_3918	16215.03	24606.94	96
_h5_4728	22439.81	18999.46	11
_h5_4320	22419.39	18860.31	11
_h5_4520	22428.62	18905.05	11
_h5_3680	22427.01	19294.93	11
_h5_3890	22555.37	18786.72	11
_h5_4358	22588.37	18756.7	11
_h5_4567	22624.78	18855.88	11
_h5_3584	22580.07	19211.09	11
_h5_4491	35323.46	26704.87	89
_h5_3690	35339.06	26687.0	89
_h5_4391	35448.34	26703.98	89
_h5_4455	35362.66	26700.41	89
_h5_3952	19215.78	23031.05	251
_h5_3976	19214.98	23057.07	274
_h5_4393	19188.64	22751.87	251
_h5_4353	19217.39	23292.41	150
_h5_3956	20320.75	21910.85	78
_h5_3915	20319.45	21913.9	78
_h5_3957	27584.65	28979.63	203
_h5_3717	27607.02	29015.12	203
_h5_4550	27438.19	28787.15	203
_h5_3954	28558.33	26421.28	136
_h5_3844	28505.01	26407.79	136
_h5_3943	28607.76	26414.25	136
_h5_4064	28337.3	26425.01	136
_h5_4188	28386.35	26428.74	136
_h5_3962	28642.2	26416.88	136
_h5_4101	28839.78	26418.02	12
_h5_4227	28794.31	26422.4	136
_h5_4228	28724.12	26427.87	136
_h5_3955	25020.68	24626.28	8
_h5_3780	25197.6	24812.27	8
_h5_3800	25196.68	24816.02	8
_h5_3802	25200.33	24819.67	8
_h5_4114	25202.97	24817.64	8
_h5_4565	24940.98	24781.91	8
_h5_3929	25218.49	24836.87	8
_h5_3946	25212.05	24831.01	8
_h5_4016	25214.56	24828.84	8
_h5_3958	32299.72	26362.82	85
_h5_3965	32435.84	26516.84	85
_h5_4011	32363.93	26570.62	85
_h5_4311	32480.37	26532.22	85
_h5_4344	32073.69	26298.09	85
_h5_4357	32086.86	26306.58	85
_h5_4367	32134.53	26324.57	85
_h5_4384	32244.41	26364.94	85
_h5_4756	32447.6	26144.04	85
_h5_4717	41860.38	30838.62	483
_h5_4697	41898.91	30822.76	483
_h5_4157	26082.52	23016.13	6
_h5_3582	26061.28	22965.67	6
_h5_3970	25978.33	22853.97	6
_h5_3994	26117.41	23201.99	27
_h5_4023	25929.95	22775.48	6
_h5_4281	26045.61	22977.24	6
_h5_3854	26248.53	23252.05	27
_h5_4156	21537.13	11763.47	408
_h5_3807	21578.53	11737.59	408
_h5_4107	21588.8	11731.17	408
_h5_4155	30583.02	25861.73	152
_h5_4265	30666.92	25860.81	152
_h5_4633	30385.03	25887.85	152
_h5_4195	30758.12	25866.36	152
_h5_4288	30710.39	25862.36	152
_h5_4328	30873.18	25883.79	152
_h5_4154	17019.79	24557.5	276
_h5_4100	17094.42	24560.6	276
_h5_4208	16999.99	24553.04	276
_h5_4423	17044.16	24556.29	276
_h5_4090	26816.24	26097.43	91
_h5_3977	26656.06	25929.92	13
_h5_3814	26925.0	26121.24	91
_h5_3847	26994.23	26170.46	91
_h5_4005	26951.52	26151.47	91
_h5_4026	27040.14	26162.18	91
_h5_4245	26680.85	26059.32	91
_h5_4459	26603.59	25979.85	91
_h5_3737	21563.01	22920.08	60
_h5_3617	21562.11	22916.89	60
_h5_3898	21588.01	22912.12	60
_h5_4094	18756.51	17014.37	306
_h5_4269	18847.59	17022.1	102
_h5_4095	19137.74	23733.38	150
_h5_3583	19161.47	23642.12	150
_h5_4174	19074.72	23608.62	150
_h5_4343	19136.41	23463.29	150
_h5_4340	19116.84	23814.43	150
_h5_4498	32090.84	21580.01	105
_h5_4712	10981.69	24929.11	425
_h5_3774	11070.91	24938.88	425
_h5_4855	43188.2	31679.78	135
_h5_4809	43265.99	31696.6	135
_h5_4834	43127.88	31677.88	135
_h5_4808	41001.75	22617.56	49
_h5_4837	41225.09	22420.11	49
_h5_4838	41155.98	22437.63	49
_h5_3840	21760.41	34816.98	335
_h5_4667	21742.46	34818.31	335
_h5_4807	33646.92	18731.1	484
_h6_14	33844.81	18596.27	484
_h5_4801	21914.3	13106.14	284
_h5_4836	22003.57	12842.94	28
_h5_4787	21837.92	13388.76	284
_h5_4816	21853.29	13327.88	284
_h5_4800	16122.09	14775.29	170
_h5_4783	16120.56	14778.24	170
_h5_4175	16332.81	14917.58	170
_h5_4793	16326.64	14917.22	170
_h5_4803	8370.45	24824.23	392
_h5_3633	8085.01	24836.14	220
_h5_3787	32778.51	26506.7	350
_h5_3880	33003.02	26560.46	350
_h5_4424	32970.71	26572.03	350
_h5_4025	19218.98	22005.35	39
_h5_4072	19124.99	22252.4	181
_h5_4326	19107.43	22092.87	39
_h5_3782	20397.01	12237.67	58
_h5_3577	20359.09	12285.82	58
_h5_4573	20420.09	12136.0	58
_h5_4292	20280.27	12385.92	58
_h5_4307	20249.76	12424.49	58
_h5_4377	22446.92	18432.38	48
_h5_4619	22490.19	18190.96	48
_h5_4605	22445.03	18379.91	48
_h5_4587	22470.71	18510.57	11
_h5_4374	6990.63	17130.53	79
_h5_4822	6864.96	17028.67	79
_h5_4868	7108.57	17065.04	79
_h5_4373	13781.71	25361.84	86
