id	x	y	group	color	size
_h5_4339	37969.27	30744.09	-1	ddd	10
_h5_4338	19439.64	21659.74	108	E5AA70	50
_h5_4310	19460.6	21654.72	108	E5AA70	50
_h6_202	16834.54	15487.01	2	FF7F50	50
_h5_4448	28845.11	26417.5	81	E0B582	50
_h5_3792	29023.05	26392.79	81	E0B582	50
_h5_4347	28548.29	26434.0	81	E0B582	50
_h5_4324	28753.48	26425.83	81	E0B582	50
_h5_4333	26111.29	23383.28	196	7E5E60	50
_h5_4365	26171.59	23384.5	196	7E5E60	50
_h5_4332	26244.31	25399.35	152	AA381E	50
_h5_4209	26261.88	25074.91	152	AA381E	50
_h5_4280	26240.71	25356.51	152	AA381E	50
_h5_4302	26497.29	25943.44	152	AA381E	50
_h5_4331	17303.68	24595.21	187	F64A8A	50
_h5_3941	22140.52	27493.67	53	E75480	50
_h5_4116	21905.35	27459.78	53	E75480	50
_h5_4631	20973.33	24488.59	-1	ddd	10
_h5_3684	18390.73	24416.84	187	F64A8A	50
_h5_4330	32842.45	21611.16	-1	ddd	10
_h5_4669	36909.18	16774.53	-1	ddd	10
_h5_4337	16259.02	24615.37	187	F64A8A	50
_h5_3594	16307.22	24607.06	187	F64A8A	50
_h5_4036	18744.33	21667.22	108	E5AA70	50
_h6_783	44154.95	32237.93	-1	ddd	10
_h5_4362	19910.28	21681.94	-1	ddd	10
_h5_4378	16024.78	24669.6	187	F64A8A	50
_h5_4336	26121.65	23816.94	196	7E5E60	50
_h5_3703	19144.56	20693.44	170	0047AB	50
_h5_3818	22849.55	16777.19	1228	7CB9E8	50
_h5_3819	22745.22	16102.67	1228	7CB9E8	50
_h5_4049	26911.36	23213.53	-1	ddd	10
_h5_4360	26137.67	23614.57	196	7E5E60	50
_h5_4487	26123.64	23854.26	196	7E5E60	50
_h5_3849	19597.56	19956.69	170	0047AB	50
_h5_3860	19593.84	19814.94	170	0047AB	50
_h5_4335	28341.95	26406.72	81	E0B582	50
_h5_4128	25478.7	25087.98	152	AA381E	50
_h5_4334	23613.51	23635.8	15	F7E98E	50
_h5_4308	23352.08	23923.8	15	F7E98E	50
_h5_4724	19633.35	19961.09	170	0047AB	50
_h5_3731	15251.56	13091.47	-1	ddd	10
_h5_4715	18859.51	18041.06	-1	ddd	10
_h5_4730	20110.73	19318.46	170	0047AB	50
_h5_4725	24083.28	18878.85	166	AB4E52	50
_h5_4743	23990.31	18825.45	166	AB4E52	50
_h5_4689	33787.86	20674.75	346	FFBF00	50
_h5_4134	33537.16	20799.06	346	FFBF00	50
_h5_4688	26846.71	27932.74	-1	ddd	10
_h5_4720	20298.59	10825.29	-1	ddd	10
_h5_4700	20188.78	10604.39	-1	ddd	10
_h5_4721	24620.15	18478.63	301	CCFF00	50
_h5_4749	24627.82	18488.64	301	CCFF00	50
_h5_4722	21783.9	20922.51	197	A6E7FF	50
_h5_4638	22396.21	23021.68	60	6F00FF	50
_h5_4723	36334.07	26943.06	84	014421	50
_h5_4153	40798.8	33301.52	-1	ddd	10
_h5_4620	36643.63	27163.07	84	014421	50
_h5_4642	36607.64	27132.61	84	014421	50
_h5_4741	36191.2	26870.28	84	014421	50
_h5_4745	36426.77	26999.16	84	014421	50
_h5_4779	36528.72	27070.45	84	014421	50
_h5_4683	22979.47	20592.14	-1	ddd	10
_h5_4644	24477.05	19203.21	166	AB4E52	50
_h5_4682	36721.52	22986.82	-1	ddd	10
_h5_4681	26282.41	25079.26	152	AA381E	50
_h5_4680	35826.56	26748.96	84	014421	50
_h5_4735	35913.4	26770.05	84	014421	50
_h5_4687	34923.29	18783.98	-1	ddd	10
_h5_4686	21710.48	19712.91	-1	ddd	10
_h5_4685	16646.26	20765.7	293	BE0032	50
_h5_4671	16778.62	20803.01	293	BE0032	50
_h5_4684	42796.57	23437.05	-1	ddd	10
_h6_10	16370.56	14820.92	2	FF7F50	50
_h5_4236	16972.81	15670.2	2	FF7F50	50
_h5_4690	13675.67	17244.22	-1	ddd	10
_h5_4718	27527.93	11251.18	-1	ddd	10
_h6_747	18241.23	28142.17	175	FFF8DC	50
_h5_4467	19704.54	17816.85	171	0072BB	50
_h5_4709	14258.7	11814.64	-1	ddd	10
_h5_4805	19663.57	17712.63	171	0072BB	50
_h5_4738	13767.37	12113.41	-1	ddd	10
