id	x	y	group	color	size	metadata
_h5_4339	35554.17	9110.58	-1	000	10	regular
_h5_4338	18267.07	18631.06	108	E5AA70	30	regular
_h5_4310	18377.35	18579.93	108	E5AA70	30	regular
_h5_4449	23998.26	25195.6	-1	000	10	regular
_h5_4448	34627.79	13277.94	14	4D5D53	30	regular
_h5_3792	34650.2	13275.19	14	4D5D53	30	regular
_h5_4347	34334.73	13273.72	81	E0B582	30	regular
_h5_4324	34511.09	13273.13	81	E0B582	30	regular
_h5_4333	30148.19	17166.58	359	4F7942	30	regular
_h5_4365	30341.47	17206.07	359	4F7942	30	regular
_h5_4332	31521.96	13924.65	140	FF2800	30	regular
_h5_4209	31343.75	13990.43	140	FF2800	30	regular
_h5_4280	31482.42	13939.99	140	FF2800	30	regular
_h5_4302	31761.62	13825.57	140	FF2800	30	regular
_h5_4331	19144.44	13443.71	178	6C541E	30	regular
_h5_3941	19407.4	13467.22	178	6C541E	30	regular
_h5_4116	19104.38	13430.74	178	6C541E	30	regular
_h5_4631	19151.78	13491.58	178	6C541E	30	regular
_h5_3684	19051.19	13393.58	178	6C541E	30	regular
_h5_4330	34916.6	21187.23	212	B22222	30	regular
_h5_4669	34854.43	20950.56	212	B22222	30	regular
_h5_4337	19083.02	18940.96	155	CE2029	30	regular
_h5_3594	19099.63	19086.24	185	E25822	30	regular
_h5_4036	19075.11	18826.07	155	CE2029	30	regular
_h5_4068	19069.52	18673.36	155	CE2029	30	regular
_h5_4362	19081.19	18959.3	155	CE2029	30	regular
_h5_4378	19072.92	18648.65	155	CE2029	30	regular
_h5_4336	24140.99	21084.36	74	FC8EAC	30	regular
_h5_3703	24110.38	21080.67	74	FC8EAC	30	regular
_h5_3818	24267.79	20966.66	74	FC8EAC	30	regular
_h5_3819	23911.52	21190.96	74	FC8EAC	30	regular
_h5_4049	24282.96	20979.59	74	FC8EAC	30	regular
_h5_4360	23998.4	21170.22	74	FC8EAC	30	regular
_h5_4487	24168.05	21065.32	74	FC8EAC	30	regular
_h5_3849	24361.8	20883.43	74	FC8EAC	30	regular
_h5_3860	24298.56	20940.2	74	FC8EAC	30	regular
_h5_4335	25802.8	17587.25	6	664423	30	regular
_h5_4128	25892.67	17314.8	6	664423	30	regular
_h5_4334	21521.44	16008.51	15	F7E98E	30	regular
_h5_4308	21624.06	16138.48	15	F7E98E	30	regular
_h5_4724	17138.35	24091.16	9	EEDC82	30	regular
_h5_3731	17007.18	24247.63	277	A2006D	30	regular
_h5_4715	17304.42	23874.87	9	EEDC82	30	regular
_h5_4730	17004.2	24285.63	277	A2006D	30	regular
_h5_4725	22414.62	24612.27	380	FFFAF0	30	regular
_h5_4743	22285.74	24797.5	380	FFFAF0	30	regular
_h5_4689	35409.64	21997.45	346	FFBF00	30	regular
_h5_4134	35610.65	21926.28	346	FFBF00	30	regular
_h5_4688	29269.48	8836.74	-1	000	10	regular
_h5_4720	20928.45	26780.86	101	FF1493	30	regular
_h5_4700	20887.44	26996.92	101	FF1493	30	regular
_h5_4721	25497.4	22917.8	301	CCFF00	30	regular
_h5_4749	25551.92	23004.5	301	CCFF00	30	regular
_h5_4722	21043.42	17713.15	162	FF004F	30	regular
_h5_4638	21231.59	17491.12	162	FF004F	30	regular
_h5_4723	41016.44	9480.93	84	014421	30	regular
_h5_4153	40951.06	9337.72	84	014421	30	regular
_h5_4620	41146.06	9371.98	84	014421	30	regular
_h5_4642	41108.63	9402.5	84	014421	30	regular
_h5_4741	40895.71	9588.29	84	014421	30	regular
_h5_4745	41092.29	9420.52	84	014421	30	regular
_h5_4779	41196.98	9334.73	84	014421	30	regular
_h5_4683	22651.28	24196.45	345	228B22	30	regular
_h5_4644	22724.38	24015.42	345	228B22	30	regular
_h5_4682	39235.23	19362.71	-1	000	10	regular
_h5_4681	25059.49	16907.41	-1	000	10	regular
_h5_4680	40466.48	9999.35	84	014421	30	regular
_h5_4735	40677.49	9793.53	84	014421	30	regular
_h5_4687	37210.9	23133.41	-1	000	10	regular
_h5_4686	19375.96	21723.23	-1	000	10	regular
_h5_4685	12904.86	20203.04	300	A67B5B	30	regular
_h5_4671	12997.14	20160.71	300	A67B5B	30	regular
_h5_4684	44980.11	14025.99	-1	000	10	regular
_h6_10	14872.96	25256.63	75	856D4D	30	regular
_h5_4236	14985.17	25439.57	75	856D4D	30	regular
_h5_4690	15020.31	25477.3	75	856D4D	30	regular
_h5_4718	23249.44	29571.05	-1	000	10	regular
_h5_4777	15614.22	25957.15	171	0072BB	30	regular
_h5_4467	15408.61	25825.73	171	0072BB	30	regular
_h5_4709	15399.01	25876.41	171	0072BB	30	regular
_h5_4805	15330.27	25917.84	171	0072BB	30	regular
_h5_4738	15661.49	25934.47	171	0072BB	30	regular
_h5_4770	15692.77	25911.9	171	0072BB	30	regular
_h5_4861	43658.61	16903.33	-1	000	10	regular
_h5_4776	14140.02	27455.3	195	86608E	30	regular
_h5_4668	14057.37	27372.67	195	86608E	30	regular
_h5_4845	7268.45	15091.39	37	9EFD38	30	regular
_h5_3857	7524.03	15108.78	37	9EFD38	30	regular
_h5_4445	37212.95	12198.22	5	D473D4	30	regular
_h5_4226	37324.64	12073.81	262	FD6C9E	30	regular
_h5_4558	37331.56	12060.78	262	FD6C9E	30	regular
_h6_6	20824.3	27296.85	-1	000	10	regular
_h5_4444	21603.05	21251.25	29	4E1609	30	regular
_h5_3725	21669.02	21054.77	29	4E1609	30	regular
_h5_4450	21614.27	21068.92	29	4E1609	30	regular
_h5_4480	21567.16	21046.09	29	4E1609	30	regular
_h5_3798	22223.18	12481.24	438	C72C48	30	regular
_h5_3652	22023.33	12515.38	438	C72C48	30	regular
_h5_3877	21997.88	12527.54	438	C72C48	30	regular
_h5_3999	21934.24	12531.19	438	C72C48	30	regular
_h5_4447	36148.64	17097.52	-1	000	10	regular
_h5_4130	12021.78	15184.64	187	F64A8A	30	regular
_h5_4657	12121.08	15177.79	187	F64A8A	30	regular
_h5_4446	30603.31	24485.83	-1	000	10	regular
_h6_7	11922.45	30169.06	288	77B5FE	30	regular
_h5_4869	11870.7	30085.13	288	77B5FE	30	regular
_h5_4441	17881.69	15533.48	231	8806CE	30	regular
_h5_4456	17694.34	15412.06	231	8806CE	30	regular
_h5_4714	22433.24	10955.78	-1	000	10	regular
_h5_4854	32615.01	24915.89	404	AC1E44	30	regular
_h5_4356	32796.45	24815.42	404	AC1E44	30	regular
_h5_4590	12685.46	18092.43	-1	000	10	regular
_h5_4440	21125.09	18641.23	197	A6E7FF	30	regular
_h5_4434	20876.26	18622.94	197	A6E7FF	30	regular
_h5_4729	20868.03	18627.36	197	A6E7FF	30	regular
_h5_3661	21387.08	18672.15	337	FF00FF	30	regular
_h5_4397	21345.6	18665.17	47	C154C1	30	regular
_h5_4438	31753.33	18181.99	207	FF77FF	30	regular
_h5_3828	31667.59	18125.07	222	C74375	30	regular
_h5_4401	32020.35	18052.48	207	FF77FF	30	regular
_h5_4468	31949.87	18255.19	207	FF77FF	30	regular
_h5_4581	31907.36	18219.93	207	FF77FF	30	regular
_h5_4439	17080.74	19103.3	369	E48400	30	regular
_h5_4453	16846.53	19177.56	369	E48400	30	regular
_h5_4533	32107.66	18824.41	-1	000	10	regular
_h5_4532	25991.07	25691.74	-1	000	10	regular
_h5_4535	43264.16	16393.09	-1	000	10	regular
_h5_4443	24932.4	20012.77	138	CC6666	30	regular
_h5_3739	24965.83	19905.12	138	CC6666	30	regular
_h5_3832	25020.16	19806.35	138	CC6666	30	regular
_h5_3879	25041.68	19768.51	138	CC6666	30	regular
_h5_4537	35908.22	22162.05	240	D71868	30	regular
_h5_4279	35876.53	22137.44	240	D71868	30	regular
_h5_4035	23037.79	5118.94	-1	000	10	regular
_h5_4430	26289.55	15484.78	416	85BB65	30	regular
_h5_4044	26271.11	15559.25	416	85BB65	30	regular
_h5_4102	26255.64	15547.37	416	85BB65	30	regular
_h5_4431	26295.59	12711.6	139	664C28	30	regular
_h5_3930	26419.24	12688.92	139	664C28	30	regular
_h5_4369	26486.16	12882.25	139	664C28	30	regular
_h5_4400	26349.29	12568.97	160	967117	30	regular
_h5_4432	21736.64	19744.88	134	00009C	30	regular
_h5_4351	21745.33	19771.83	134	00009C	30	regular
_h5_4433	11150.32	10522.6	-1	000	10	regular
_h5_4436	17841.57	23355.48	73	E5CCC9	30	regular
_h5_4048	17632.68	23513.4	73	E5CCC9	30	regular
_h5_4059	17666.78	23485.16	73	E5CCC9	30	regular
_h5_4656	17660.92	23485.73	73	E5CCC9	30	regular
_h5_3974	17755.82	23392.23	73	E5CCC9	30	regular
_h5_4013	17705.16	23453.87	73	E5CCC9	30	regular
_h5_4651	17795.36	23382.84	73	E5CCC9	30	regular
_h5_4666	17755.36	23415.34	73	E5CCC9	30	regular
_h5_4672	17693.45	23458.99	73	E5CCC9	30	regular
_h5_4676	17834.27	23352.45	73	E5CCC9	30	regular
_h5_4678	17839.08	23353.18	73	E5CCC9	30	regular
_h5_4702	17939.36	23295.21	73	E5CCC9	30	regular
_h5_4437	29229.77	17216.18	218	EFDFBB	30	regular
_h5_3766	28963.68	17233.67	218	EFDFBB	30	regular
_h5_4298	29474.16	17278.15	218	EFDFBB	30	regular
_h5_4871	23468.1	17731.14	42	E1A95F	30	regular
_h5_3604	23241.52	17843.54	42	E1A95F	30	regular
_h5_3647	23237.5	17851.24	42	E1A95F	30	regular
_h5_3829	23235.63	17848.5	42	E1A95F	30	regular
_h5_4074	23225.98	17866.95	42	E1A95F	30	regular
_h5_4732	23228.85	17868.7	42	E1A95F	30	regular
_h5_4037	21684.51	20602.66	-1	000	10	regular
_h5_4531	15607.09	19497.69	205	555D50	30	regular
_h5_4512	15660.77	19488.49	205	555D50	30	regular
_h5_4139	25928.49	14458.14	1	C2B280	30	regular
_h5_3932	25724.94	14653.82	18	1B1B1B	30	regular
_h5_4206	25776.63	14598.48	18	1B1B1B	30	regular
_h5_3859	26088.25	14363.5	1	C2B280	30	regular
_h5_3953	26144.57	14354.63	1	C2B280	30	regular
_h5_4007	26031.27	14370.61	1	C2B280	30	regular
_h5_4014	26056.44	14361.88	1	C2B280	30	regular
_h5_4105	26198.57	14371.87	1	C2B280	30	regular
_h5_4726	29503.28	8624.68	327	614051	30	regular
_h5_3695	29556.09	8596.21	327	614051	30	regular
_h5_4138	40368.51	13370.88	-1	000	10	regular
_h5_4032	20973.94	16975.13	142	F0EAD6	30	regular
_h5_4065	20974.44	16971.86	142	F0EAD6	30	regular
_h5_4248	20966.4	16973.67	142	F0EAD6	30	regular
